Company Name,Job Opportunity Name,City,State,Clinical Subspecialty Client Wants,Complete Job Description
OK Brain,OK - Oklahoma City General NS,Oklahoma City,OK - Oklahoma,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
South Carolina Hospital,SC - COLUMBUS General NS,Columbus,SC - South Carolina,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
South Carolina Institute,SC - Springfield General/Spine NS (contingent),Springfield,SC - South Carolina,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Southern Health,SC - Portsmouth Pediatric NS (Contingent),Portsmouth,SC - South Carolina,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Texas General Hospital,TX - HOUSTON - Gen NS,Houston,TX - Texas,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Western Hospital,TX - EL PASO - Spine NS,El Paso,TX - Texas,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Western Medical Center,TX - DALLAS Gen NS,Dallas,TX - Texas,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Brain and Spine,TX - SAN ANTONIO Spine NS,San Antonio,TX - Texas,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Virginia Hospital,VA - ALEXANDRIA - Cranial NS,Alexandria,VA - Virginia,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Virginia Hospital,VA - FAIRFAX - Scoliosis NS,Fairfax,VA - Virginia,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
Southern Ohio Health,WV - Wheeling General NS,Morgantown,WV - West Virginia,General Surgery; Pediatric Surgery,Vulputate ut pharetra sit amet aliquam id diam maecenas. Mattis enim ut tellus elementum sagittis. Pretium quam vulputate dignissim suspendisse in. Ornare arcu dui vivamus arcu felis bibendum ut tristique et. Nulla porttitor massa id neque aliquam vestibulum. Enim sit amet venenatis urna cursus eget.
